ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Hour,Duration
A-988,MapQuest,201.0,3,2016-06-23 09:57:56,2016-06-23 10:27:56,37.731277,-122.43521899999999,,,0.0,Right hand shoulder blocked due to accident on I-280 Southbound before I-280 Exit 52 / San Jose Ave.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-06-23 09:56:00,61.0,,62.0,30.08,10.0,WNW,19.6,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,09,30
A-1010,MapQuest,201.0,2,2016-06-23 10:59:32,2016-06-23 11:29:32,37.734898,-122.40866100000001,,,0.0,#1 lane blocked due to accident on US-101 Southbound before Silver Ave.,,I-280 S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-06-23 10:56:00,64.0,,58.0,30.09,10.0,NW,16.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10,30
A-1015,MapQuest,201.0,3,2016-06-23 11:22:34,2016-06-23 11:52:34,37.732208,-122.41451299999999,,,0.0,Accident on I-280 Northbound before Alemany Blvd. On the median.,,Alemany Blvd,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-06-23 10:56:00,64.0,,58.0,30.09,10.0,NW,16.1,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,11,30
A-1022,MapQuest,201.0,2,2016-06-23 12:11:21,2016-06-23 12:41:21,37.764633,-122.40511299999999,,,0.0,Accident on US-101 Northbound at Exit 433A Vermont St.,,17th St,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-06-23 11:56:00,66.9,,49.0,30.09,10.0,WNW,18.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,30
A-1080,MapQuest,203.0,2,2016-06-24 02:05:59,2016-06-24 03:05:59,37.769646,-122.417847,,,0.0,Middle lane blocked due to multi-vehicle accident on US-101 Van Ness Ave Northbound at Exits 434A 434B 13th St.,218.0,S Van Ness Ave,R,San Francisco,San Francisco,CA,94103-3714,US,US/Pacific,KSFO,2016-06-24 01:56:00,55.9,,90.0,30.09,9.0,WSW,24.2,,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,02,60
A-1081,MapQuest,241.0,3,2016-06-24 02:20:24,2016-06-24 03:20:24,37.734898,-122.40866100000001,,,0.0,Lane blocked due to accident on I-280 Northbound before Exits 54 54A 54B US-101.,,I-280 S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-06-24 01:56:00,55.9,,90.0,30.09,9.0,WSW,24.2,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,02,60
A-1085,MapQuest,201.0,3,2016-06-24 03:33:31,2016-06-24 04:33:31,37.785542,-122.39138,,,0.0,Lane blocked on entry ramp due to accident on I-80 Eastbound at Exits 2B 2C Harrison St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2016-06-24 03:39:00,57.0,,83.0,30.07,10.0,SSW,10.4,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,03,60
A-1172,MapQuest,201.0,3,2016-06-24 19:41:20,2016-06-24 20:11:20,37.778088000000004,-122.401169,,,0.0,Accident on Harrison St Eastbound at I-80.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-06-24 19:53:00,69.1,,54.0,29.98,10.0,WNW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,19,30
A-1194,MapQuest,201.0,3,2016-06-24 22:10:04,2016-06-24 22:40:04,37.735943,-122.40781399999999,,,0.0,Accident on I-280 Northbound at Exits 54 54A 54B US-101.,,San Bruno Ave,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-06-24 21:56:00,59.0,,69.0,29.99,10.0,NW,15.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,22,30
A-1220,MapQuest,201.0,2,2016-06-25 04:18:20,2016-06-25 05:03:20,37.781151,-122.396065,,,0.0,Accident on 3rd St at Bryant St.,509.0,Bryant St,L,San Francisco,San Francisco,CA,94107-1216,US,US/Pacific,KOAK,2016-06-25 03:53:00,59.0,,78.0,29.96,10.0,Calm,,,Clear,True,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,04,45
A-1223,MapQuest,201.0,3,2016-06-25 05:26:00,2016-06-25 06:26:00,37.767639,-122.396194,,,0.0,Accident on I-280 Southbound at Exit 57 King St.,,I-280 S,R,San Francisco,San Francisco,CA,94158,US,US/Pacific,KOAK,2016-06-25 05:53:00,57.0,,83.0,29.97,10.0,Calm,,,Clear,False,False,False,False,False,False,True,False,False,False,False,False,False,Night,Day,Day,Day,05,60
A-1250,MapQuest,241.0,3,2016-06-25 13:30:32,2016-06-25 15:31:00,37.778683,-122.400322,,,0.0,One lane blocked due to accident on I-80 Eastbound at 4th st.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-06-25 13:53:00,78.1,,40.0,29.95,10.0,WNW,15.0,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,120
A-1261,MapQuest,201.0,3,2016-06-25 15:56:53,2016-06-25 17:26:53,37.732281,-122.432076,,,0.0,Accident on I-280 Southbound at Exit 52 San Jose Ave.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-06-25 15:56:00,70.0,,49.0,29.94,10.0,WNW,27.6,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,90
A-1297,MapQuest,201.0,3,2016-06-26 03:48:23,2016-06-26 04:18:23,37.781715000000005,-122.39724,,,0.0,Right hand shoulder blocked due to accident on I-80 Westbound at Exits 2 2A Harrison St.,107.0,Perry St,R,San Francisco,San Francisco,CA,94107-4217,US,US/Pacific,KOAK,2016-06-26 03:53:00,59.0,,78.0,29.94,10.0,NNW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,03,30
A-1307,MapQuest,201.0,3,2016-06-26 06:19:30,2016-06-26 07:04:30,37.719162,-122.448273,,,0.0,Slow lane blocked due to accident on I-280 Northbound at Exit 51 Ocean Ave.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-06-26 05:56:00,55.0,,80.0,29.97,10.0,WNW,10.4,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,06,45
A-1365,MapQuest,201.0,2,2016-06-27 03:28:14,2016-06-27 04:28:14,37.708816999999996,-122.395195,,,0.0,Right hand shoulder blocked due to accident on US-101 Northbound at Exit 429A Harney Way.,,Alanna Way,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-06-27 03:56:00,53.1,,89.0,30.01,10.0,WNW,13.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,03,60
A-1390,MapQuest,201.0,3,2016-06-27 09:18:30,2016-06-27 09:48:30,37.721278999999996,-122.448204,,,0.0,Fast lane blocked due to accident on I-280 Northbound after Geneva Ave.,,Geneva Ave,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-06-27 08:56:00,60.1,,67.0,30.03,10.0,WNW,11.5,,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,09,30
A-1430,MapQuest,201.0,2,2016-06-27 12:51:11,2016-06-27 13:21:11,37.729034000000006,-122.47466299999999,,,0.0,Accident on CA-1 19th Ave Southbound near Buckingham Way.,3252.0,19th Ave,R,San Francisco,San Francisco,CA,94132-2007,US,US/Pacific,KSFO,2016-06-27 12:56:00,68.0,,52.0,30.01,10.0,WNW,21.9,,Partly Cloudy,False,False,True,False,False,False,True,False,False,False,False,False,False,Day,Day,Day,Day,12,30
A-1471,MapQuest,201.0,3,2016-06-27 19:51:11,2016-06-27 20:21:11,37.726318,-122.44603700000002,,,0.0,Accident on I-280 Southbound at Exit 51 Ocean Ave.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-06-27 19:56:00,62.1,,62.0,29.95,10.0,WNW,21.9,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,19,30
A-1511,MapQuest,201.0,2,2016-06-28 08:53:24,2016-06-28 09:23:24,37.788067,-122.440445,,,0.0,Accident on California St at Divisadero St.,2801.0,California St,L,San Francisco,San Francisco,CA,94115-2515,US,US/Pacific,KSFO,2016-06-28 08:56:00,55.0,,80.0,30.02,10.0,WNW,19.6,,Partly Cloudy,True,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day,08,30
A-1525,MapQuest,201.0,2,2016-06-28 11:34:47,2016-06-28 12:04:47,37.769375,-122.405533,,,0.0,Accident on US-101 Northbound at I-80.,15.0,San Bruno Ave,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-06-28 11:56:00,62.1,,62.0,30.01,10.0,WNW,23.0,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,11,30
A-1613,MapQuest,241.0,3,2016-06-29 03:27:23,2016-06-29 04:27:23,37.785542,-122.39138,,,0.0,Lane blocked due to accident on I-80 Eastbound at Exits 2B 2C Harrison St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2016-06-29 03:53:00,55.9,,84.0,29.95,9.0,WNW,6.9,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,03,60
A-1634,MapQuest,201.0,3,2016-06-29 09:52:33,2016-06-29 10:22:33,37.737488,-122.40223700000001,,,0.0,Accident on I-280 Southbound at Alemany Blvd.,,I-280 S,R,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2016-06-29 09:56:00,57.9,,72.0,30.01,10.0,WNW,15.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,09,30
A-1676,MapQuest,201.0,3,2016-06-29 14:02:25,2016-06-29 14:47:25,37.785542,-122.39138,,,0.0,Slow lane blocked due to accident on I-80 Eastbound at Harrison St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2016-06-29 13:53:00,63.0,,63.0,30.0,10.0,West,12.7,,Scattered Clouds,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14,45
A-1773,MapQuest,201.0,2,2016-06-30 12:26:00,2016-06-30 12:56:00,37.720791,-122.400223,,,0.0,Middle lane blocked due to accident on US-101 Southbound at Exits 429B 429C Bay Shore Blvd.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-06-30 12:56:00,68.0,,55.0,29.88,10.0,WNW,15.0,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,30
A-1794,MapQuest,201.0,3,2016-06-30 14:39:34,2016-06-30 15:09:34,37.775314,-122.406052,,,0.0,Accident on I-80 Eastbound at Exits 1 1C Bryant St.,,I-80 W,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-06-30 14:56:00,73.0,,46.0,29.85,10.0,WNW,15.0,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14,30
A-1860,MapQuest,201.0,3,2016-07-01 05:19:51,2016-07-01 06:34:51,37.772422999999996,-122.406792,,,0.0,Right hand shoulder blocked due to accident on I-80 Eastbound at Exits 1 1C Bryant St.,,8th St,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-07-01 04:56:00,54.0,,83.0,29.83,10.0,WNW,6.9,,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day,05,75
A-1924,MapQuest,241.0,2,2016-07-02 09:29:38,2016-07-02 15:50:00,37.769646,-122.417847,,,0.0,One lane blocked due to accident on US-101 Van Ness Ave Northbound at Duboce Ave.,218.0,S Van Ness Ave,R,San Francisco,San Francisco,CA,94103-3714,US,US/Pacific,KSFO,2016-07-02 09:56:00,64.0,,67.0,29.96,10.0,North,8.1,,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,09,380
A-1935,MapQuest,201.0,2,2016-07-02 16:13:01,2016-07-02 17:43:01,37.747536,-122.42024199999999,,,0.0,Accident on Valencia St Northbound at Duncan St.,1579.0,Valencia St,R,San Francisco,San Francisco,CA,94110-4409,US,US/Pacific,KSFO,2016-07-02 15:56:00,72.0,,51.0,29.94,10.0,North,8.1,,Partly Cloudy,True,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day,16,90
A-1952,MapQuest,241.0,3,2016-07-03 01:19:59,2016-07-03 01:49:59,37.731578999999996,-122.423332,,,0.0,One lane blocked due to accident on I-280 Southbound at Exit 53 Alemany Blvd.,,I-280 S,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2016-07-03 00:56:00,57.0,,81.0,29.99,10.0,West,5.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,01,30
A-1977,MapQuest,229.0,2,2016-07-03 12:41:21,2016-07-03 13:26:21,37.807072,-122.47561599999999,,,0.0,Slow traffic and right hand shoulder blocked due to accident on US-101 Golden Gate Brg Northbound at Exit 439 Transit Transfer Facility.,,Golden Gate Brg S,R,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2016-07-03 12:56:00,66.0,,68.0,30.04,10.0,NNE,12.7,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,45
A-1978,MapQuest,201.0,3,2016-07-03 12:41:58,2016-07-03 13:26:58,37.721278999999996,-122.448204,,,0.0,Left hand shoulder blocked due to accident on I-280 Northbound at Exit 51 Ocean Ave.,,Geneva Ave,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-07-03 12:56:00,66.0,,68.0,30.04,10.0,NNE,12.7,,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,12,45
A-2000,MapQuest,201.0,3,2016-07-03 16:37:39,2016-07-03 18:07:39,37.759823,-122.39225800000001,,,0.0,Accident on I-280 Southbound at Exit 55 Pennsylvania Ave.,,John F Foran Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-07-03 16:53:00,66.9,,61.0,30.0,10.0,NW,15.0,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16,90
A-2032,MapQuest,201.0,2,2016-07-04 05:31:06,2016-07-04 06:46:12,37.733096999999994,-122.40561699999999,,,0.0,Accident on US-101 Southbound at Silver Ave.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-07-04 05:56:00,55.0,,83.0,30.01,10.0,West,4.6,,Scattered Clouds,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day,05,75
A-2035,MapQuest,201.0,2,2016-07-04 07:11:59,2016-07-04 07:41:59,37.769646,-122.417847,,,0.0,Accident on US-101 Van Ness Ave Northbound at Exits 434A 434B 13th St.,218.0,S Van Ness Ave,R,San Francisco,San Francisco,CA,94103-3714,US,US/Pacific,KSFO,2016-07-04 06:56:00,57.0,,77.0,30.02,10.0,South,3.5,,Scattered Clouds,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,07,30
A-2036,MapQuest,201.0,2,2016-07-04 07:09:20,2016-07-04 07:39:20,37.720791,-122.400223,,,0.0,Accident on US-101 Southbound at Exits 429B 429C Bay Shore Blvd.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-07-04 06:56:00,57.0,,77.0,30.02,10.0,South,3.5,,Scattered Clouds,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,07,30
A-2054,MapQuest,201.0,2,2016-07-04 12:34:12,2016-07-04 13:04:12,37.766459999999995,-122.405273,,,0.0,Accident on US-101 Southbound at I-80 Exits 1A 1B.,,Central Fwy,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-07-04 12:56:00,68.0,,63.0,30.04,10.0,NNE,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,30
A-2110,MapQuest,241.0,3,2016-07-05 01:36:48,2016-07-05 02:36:48,37.710827,-122.456375,,,0.0,Lane blocked due to accident on I-280 Northbound at Exit 50 Alemany Blvd.,,San Jose Ave,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-07-05 01:56:00,55.9,,84.0,30.0,10.0,West,5.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,01,60
A-2111,MapQuest,241.0,3,2016-07-05 01:25:29,2016-07-05 02:25:29,37.734898,-122.40866100000001,,,0.0,Lane blocked and right hand shoulder blocked due to accident on I-280 Northbound at Exits 54 54A 54B US-101.,,I-280 S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-07-05 00:56:00,57.0,,81.0,30.0,10.0,WNW,9.2,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,01,60
A-2113,MapQuest,201.0,2,2016-07-05 01:52:48,2016-07-05 02:52:48,37.769375,-122.405533,,,0.0,Right hand shoulder blocked due to accident on US-101 Southbound at Exits 433 433B 433C San Francisco-Oakland Bay Bridge.,15.0,San Bruno Ave,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-07-05 01:56:00,55.9,,84.0,30.0,10.0,West,5.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,01,60
A-2144,MapQuest,247.0,2,2016-07-05 10:18:47,2016-07-05 11:03:47,37.807072,-122.47561599999999,,,0.0,Delays due to accident on US-101 Golden Gate Brg Southbound at Exit 439 Transit Transfer Facility.,,Golden Gate Brg S,R,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2016-07-05 09:56:00,64.0,,65.0,30.01,10.0,NNW,10.4,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10,45
A-2218,MapQuest,201.0,2,2016-07-05 23:56:38,2016-07-06 00:26:38,37.807072,-122.47561599999999,,,0.0,Accident on US-101 Golden Gate Brg Southbound at Exit 439 Transit Transfer Facility.,,Golden Gate Brg S,R,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2016-07-05 23:56:00,57.0,,77.0,29.98,10.0,Calm,,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,23,30
A-2238,MapQuest,201.0,3,2016-07-06 09:49:39,2016-07-06 10:19:39,37.750099,-122.39225,,,0.0,Right hand shoulder blocked due to accident on I-280 Southbound at Exit 55 Cesar Chavez.,,Cesar Chavez,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-07-06 09:53:00,57.9,,75.0,30.02,10.0,WSW,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,09,30
A-2277,MapQuest,201.0,3,2016-07-06 14:55:52,2016-07-06 15:25:52,37.778088000000004,-122.401169,,,0.0,Right hand shoulder blocked due to accident on I-80 Eastbound at Exits 2 2A Harrison St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-07-06 14:53:00,64.9,,61.0,30.02,10.0,West,18.4,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14,30
A-2292,MapQuest,201.0,3,2016-07-06 18:05:58,2016-07-06 18:35:58,37.786995000000005,-122.38987,,,0.0,Accident on I-80 Westbound at Exit 4A Treasure Is.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2016-07-06 17:53:00,61.0,,70.0,30.0,10.0,West,17.3,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,18,30
A-2304,MapQuest,201.0,3,2016-07-06 20:07:29,2016-07-06 20:37:29,37.775314,-122.406052,,,0.0,Accident on I-80 Westbound at Exits 1 1C Bryant St.,,I-80 W,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-07-06 19:56:00,59.0,,72.0,29.98,10.0,West,13.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,20,30
A-2369,MapQuest,247.0,2,2016-07-07 10:55:46,2016-07-07 11:40:46,37.720791,-122.400223,,,0.0,Delays due to accident on US-101 Southbound at Exits 429B 429C Bay Shore Blvd.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-07-07 10:56:00,60.1,,72.0,30.03,10.0,West,16.1,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10,45
A-2655,MapQuest,201.0,2,2016-07-10 07:27:27,2016-07-10 13:21:00,37.769375,-122.405533,,,0.0,Right hand shoulder blocked due to accident on US-101 Southbound at I-80.,15.0,San Bruno Ave,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-07-10 07:56:00,60.1,,72.0,30.09,10.0,West,17.3,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,07,353
